CountryCode,CountryName,ID,PeaceStart,PeaceEnd,Failed,Mediation,MediatedAgreemt,SuperpowerMediation,TotalNofMedAttempts,UNPeacekeeping,EthnicWar,LogTotalDeaths,WarDuration,MilitaryVictory,Democracy,lnGDP,LogArmySize,WarCount,st,d,origin,t,t0
145,,12,1952,1989,0,0,0,0,0,0,0,7.3132205,1,1,1,.50982511,3.4011974,1,1,0,1952,37,36
145,,12,1952,1990,0,0,0,0,0,0,0,7.3132205,1,1,1,.50561208,3.4011974,1,1,0,1952,38,37
145,,12,1952,1991,0,0,0,0,0,0,0,7.3132205,1,1,1,.52827251,3.4965076,1,1,0,1952,39,38
145,,12,1952,1992,0,0,0,0,0,0,0,7.3132205,1,1,1,.54290551,3.4657359,1,1,0,1952,40,39
145,,12,1952,1993,0,0,0,0,0,0,0,7.3132205,1,1,1,.56064582,3.4657359,1,1,0,1952,41,40
145,,12,1952,1994,0,0,0,0,0,0,0,7.3132205,1,1,1,.58220828,3.3322046,1,1,0,1952,42,41
145,,12,1952,1995,0,0,0,0,0,0,0,7.3132205,1,1,1,.60376638,3.3322046,1,1,0,1952,43,42
516,Burundi1 (1965-1969),14,1969,1970,0,0,0,0,0,0,1,8.5171928,5,1,0,-1.0758728,1.0986123,1,1,0,1969,1,0
516,,14,1969,1971,0,0,0,0,0,0,1,8.5171928,5,1,0,-.79850775,1.0986123,1,1,0,1969,2,1
516,Burundi1 (1972-1972),14,1969,1972,1,0,0,0,0,0,1,11.91839,5,1,0,-.84164721,1.0986123,1,1,1,1969,3,2
516,,15,1972,1973,0,0,0,0,0,0,1,11.91839,1,1,0,-.8051967,1.0986123,2,1,0,1972,1,0
516,,15,1972,1974,0,0,0,0,0,0,1,11.91839,1,1,0,-.83471078,1.6094379,2,1,0,1972,2,1
516,,15,1972,1975,0,0,0,0,0,0,1,11.91839,1,1,0,-.8051967,1.9459101,2,1,0,1972,3,2
516,,15,1972,1976,0,0,0,0,0,0,1,11.91839,1,1,0,-.79628795,1.9459101,2,1,0,1972,4,3
516,,15,1972,1977,0,0,0,0,0,0,1,11.91839,1,1,0,-.67727381,2.0794415,2,1,0,1972,5,4
516,,15,1972,1978,0,0,0,0,0,0,1,11.91839,1,1,0,-.71539283,1.9459101,2,1,0,1972,6,5
516,,15,1972,1979,0,0,0,0,0,0,1,11.91839,1,1,0,-.71949118,1.9459101,2,1,0,1972,7,6
516,,15,1972,1980,0,0,0,0,0,0,1,11.91839,1,1,0,-.73396921,1.9459101,2,1,0,1972,8,7
516,,15,1972,1981,0,0,0,0,0,0,1,11.91839,1,1,0,-.68121862,1.9459101,2,1,0,1972,9,8
516,,15,1972,1982,0,0,0,0,0,0,1,11.91839,1,1,0,-.68716508,1.9459101,2,1,0,1972,10,9
516,,15,1972,1983,0,0,0,0,0,0,1,11.91839,1,1,0,-.71949118,1.9459101,2,1,0,1972,11,10
516,,15,1972,1984,0,0,0,0,0,0,1,11.91839,1,1,0,-.72773862,2.0794415,2,1,0,1972,12,11
516,,15,1972,1985,0,0,0,0,0,0,1,11.91839,1,1,0,-.64055473,2.1972246,2,1,0,1972,13,12
516,,15,1972,1986,0,0,0,0,0,0,1,11.91839,1,1,0,-.59602046,2.3025851,2,1,0,1972,14,13
516,,15,1972,1987,0,0,0,0,0,0,1,11.91839,1,1,0,-.61989677,2.3025851,2,1,0,1972,15,14
516,Burundi (1988-1988),15,1972,1988,1,0,0,0,0,0,1,11.512925,1,1,0,-.58160579,2.3978953,3,1,1,1972,16,15
516,,16,1988,1989,0,0,0,0,0,0,1,11.512925,1,1,0,-.6311118,2.3978953,3,1,0,1988,1,0
516,,16,1988,1990,0,0,0,0,0,0,1,11.512925,1,1,0,-.59783697,2.4849067,3,1,0,1988,2,1
516,,16,1988,1991,1,0,0,0,0,0,1,11.512925,1,1,0,-.57981849,2.4849067,3,1,1,1988,3,2
811,Cambodia1 (1975?-1991),17,1975,1976,0,0,0,0,0,0,0,11.957611,6,1,0,-.89159811,4.1271343,1,1,0,1975,1,0
811,,17,1975,1977,0,0,0,0,0,0,0,11.957611,6,1,0,-.86274999,4.2484951,1,1,0,1975,2,1
811,Cambodia (1978-1991),17,1975,1978,1,0,0,0,0,0,0,11.957611,6,1,0,-.83471078,4.2484951,1,1,1,1975,3,2
483,Chad1 (1980-1994),20,1979,1980,1,1,0,0,9,0,1,10.819778,14,0,0,-.638659,1.0986123,1,1,1,1979,1,0
710,China1 (1946-1949),23,1949,1950,0,0,0,0,0,0,0,13.815511,4,1,0,-1.3019532,8.2940493,1,1,0,1949,1,0
710,,23,1949,1951,0,0,0,0,0,0,0,13.815511,4,1,0,-1.2378744,8.0063677,1,1,0,1949,2,1
710,,23,1949,1952,0,0,0,0,0,0,0,13.815511,4,1,0,-1.1841702,8.0149965,1,1,0,1949,3,2
710,,23,1949,1953,0,0,0,0,0,0,0,13.815511,4,1,0,-1.1363142,8.0235519,1,1,0,1949,4,3
710,,23,1949,1954,0,0,0,0,0,0,0,13.815511,4,1,0,-1.0847094,8.0320349,1,1,0,1949,5,4
710,,23,1949,1955,0,0,0,0,0,0,0,13.815511,4,1,0,-1.0356375,8.0063677,1,1,0,1949,6,5
710,,23,1949,1956,0,0,0,0,0,0,0,13.815511,4,1,0,-.99155325,8.0487881,1,1,0,1949,7,6
710,,23,1949,1957,0,0,0,0,0,0,0,13.815511,4,1,0,-.94417596,8.0570602,1,1,0,1949,8,7
710,,23,1949,1958,0,0,0,0,0,0,0,13.815511,4,1,0,-.809681,8.0652657,1,1,0,1949,9,8
710,,23,1949,1959,0,0,0,0,0,0,0,13.815511,4,1,0,-.73605466,8.0734034,1,1,0,1949,10,9
710,,23,1949,1960,0,0,0,0,0,0,0,13.815511,4,1,0,-.56739604,8.0814753,1,1,0,1949,11,10
710,,23,1949,1961,0,0,0,0,0,0,0,13.815511,4,1,0,-.74023879,7.6962128,1,1,0,1949,12,11
710,,23,1949,1962,0,0,0,0,0,0,0,13.815511,4,1,0,-.809681,7.7406645,1,1,0,1949,13,12
710,,23,1949,1963,0,0,0,0,0,0,0,13.815511,4,1,0,-.75502259,7.8240461,1,1,0,1949,14,13
710,,23,1949,1964,0,0,0,0,0,0,0,13.815511,4,1,0,-.65585142,7.9193563,1,1,0,1949,15,14
710,,23,1949,1965,0,0,0,0,0,0,0,13.815511,4,1,0,-.54991299,7.7832241,1,1,0,1949,16,15
710,,23,1949,1966,0,0,0,0,0,0,0,13.815511,4,1,0,-.44472587,7.8632669,1,1,0,1949,17,16
710,,23,1949,1967,0,0,0,0,0,0,0,13.815511,4,1,0,-.51751459,7.9047041,1,1,0,1949,18,17
710,,23,1949,1968,0,0,0,0,0,0,0,13.815511,4,1,0,-.60330647,7.9373746,1,1,0,1949,19,18
710,,23,1949,1969,0,0,0,0,0,0,0,13.815511,4,1,0,-.48288628,7.9480319,1,1,0,1949,20,19
710,,23,1949,1970,0,0,0,0,0,0,0,13.815511,4,1,0,-.36240566,7.9550743,1,1,0,1949,21,20
710,,23,1949,1971,0,0,0,0,0,0,0,13.815511,4,1,0,-.34389976,7.9963174,1,1,0,1949,22,21
710,,23,1949,1972,0,0,0,0,0,0,0,13.815511,4,1,0,-.33967736,8.0196133,1,1,0,1949,23,22
710,,23,1949,1973,0,0,0,0,0,0,0,13.815511,4,1,0,-.30110508,8.0864105,1,1,0,1949,24,23
710,,23,1949,1974,0,0,0,0,0,0,0,13.815511,4,1,0,-.30516741,8.3663702,1,1,0,1949,25,24
710,,23,1949,1975,0,0,0,0,0,0,0,13.815511,4,1,0,-.26657313,8.3663702,1,1,0,1949,26,25
710,,23,1949,1976,0,0,0,0,0,0,0,13.815511,4,1,0,-.3215836,8.3663702,1,1,0,1949,27,26
710,,23,1949,1977,0,0,0,0,0,0,0,13.815511,4,1,0,-.27180868,8.3663702,1,1,0,1949,28,27
710,,23,1949,1978,0,0,0,0,0,0,0,13.815511,4,1,0,-.19479907,8.4118328,1,1,0,1949,29,28
710,,23,1949,1979,0,0,0,0,0,0,0,13.815511,4,1,0,-.12897037,8.4338112,1,1,0,1949,30,29
710,,23,1949,1980,0,0,0,0,0,0,0,13.815511,4,1,0,-.028399471,8.444622,1,1,0,1949,31,30
710,,23,1949,1981,0,0,0,0,0,0,0,13.815511,4,1,0,-.034591425,8.4658995,1,1,0,1949,32,31
710,,23,1949,1982,0,0,0,0,0,0,0,13.815511,4,1,0,-.037701868,8.3779316,1,1,0,1949,33,32
710,,23,1949,1983,0,0,0,0,0,0,0,13.815511,4,1,0,.0285875,8.3187418,1,1,0,1949,34,33
710,,23,1949,1984,0,0,0,0,0,0,0,13.815511,4,1,0,.12751335,8.3187418,1,1,0,1949,35,34
710,,23,1949,1985,0,0,0,0,0,0,0,13.815511,4,1,0,.23269774,8.3187418,1,1,0,1949,36,35
710,,23,1949,1986,0,0,0,0,0,0,0,13.815511,4,1,0,.21430457,8.3015213,1,1,0,1949,37,36
710,,23,1949,1987,0,0,0,0,0,0,0,13.815511,4,1,0,.23190509,8.1690531,1,1,0,1949,38,37
710,,23,1949,1988,0,0,0,0,0,0,0,13.815511,4,1,0,.28216687,8.2374792,1,1,0,1949,39,38
710,,23,1949,1989,0,0,0,0,0,0,0,13.815511,4,1,0,.30158499,8.2687321,1,1,0,1949,40,39
710,,23,1949,1990,0,0,0,0,0,0,0,13.815511,4,1,0,.28065747,8.1605186,1,1,0,1949,41,40
710,,23,1949,1991,0,0,0,0,0,0,0,13.815511,4,1,0,.32063317,8.0709057,1,1,0,1949,42,41
710,,23,1949,1992,0,0,0,0,0,0,0,13.815511,4,1,0,.40078753,8.0583277,1,1,0,1949,43,42
710,,23,1949,1993,0,0,0,0,0,0,0,13.815511,4,1,0,.5162828,8.0163183,1,1,0,1949,44,43
710,,23,1949,1994,0,0,0,0,0,0,0,13.815511,4,1,0,.62567329,7.9827576,1,1,0,1949,45,44
710,,23,1949,1995,0,0,0,0,0,0,0,13.815511,4,1,0,.71492147,7.9827576,1,1,0,1949,46,45
713,,24,1947,1949,0,0,0,0,0,0,0,10.126631,1,1,0,-.25747624,7.3132205,1,1,0,1947,2,0
713,,24,1947,1950,0,0,0,0,0,0,0,10.126631,1,1,0,-.32711613,5.7037826,1,1,0,1947,3,2
713,,24,1947,1951,0,0,0,0,0,0,0,10.126631,1,1,0,-.12216765,6.2146082,1,1,0,1947,4,3
713,,24,1947,1952,0,0,0,0,0,0,0,10.126631,1,1,0,-.024292681,6.2146082,1,1,0,1947,5,4
713,,24,1947,1953,0,0,0,0,0,0,0,10.126631,1,1,0,.0285875,6.3969297,1,1,0,1947,6,5
713,,24,1947,1954,0,0,0,0,0,0,0,10.126631,1,1,0,.083421618,6.3969297,1,1,0,1947,7,6
713,,24,1947,1955,0,0,0,0,0,0,0,10.126631,1,1,0,.10975091,6.3969297,1,1,0,1947,8,7
713,,24,1947,1956,0,0,0,0,0,0,0,10.126631,1,1,0,.12133224,6.2728772,1,1,0,1947,9,8
713,,24,1947,1957,0,0,0,0,0,0,0,10.126631,1,1,0,.13802131,6.363028,1,1,0,1947,10,9
713,,24,1947,1958,0,0,0,0,0,0,0,10.126631,1,1,0,.17227119,6.4457197,1,1,0,1947,11,10
713,,24,1947,1959,0,0,0,0,0,0,0,10.126631,1,1,0,.20375679,6.4216223,1,1,0,1947,12,11
